project_id,region,country,project_status,last_stage_reached_name,project_name,project_development_objective,implementing_agency,project_url,board_approval_date,project_closing_date,financing_type,current_project_cost,ibrd_commitment,ida_commitment,total_ida_and_ibrd_commitment,grant_amount,borrower,lending_instrument,environmental_and_social_risk,sector_1,sector_2,sector_3,theme_1,theme_2
P160699,Eastern and Southern Africa,Republic of Rwanda,Active,Bank Approved,Renewable Energy Fund,The Project Development Objective is to increase electricity access in Rwanda through off-grid technologies and facilitate private-s ector participation in renewable off-grid electrification.,Development Bank of Rwanda (BRD),http://projects.worldbank.org/P160699/null?lang=en,2017-06-20T00:00:00Z,2023-09-30,Grants,48940000.0,0,0,0,48940000,Government of Rwanda,Investment Project Financing,,Renewable Energy Solar,Public Administration - Energy and Extractives,,Infrastructure services for private sector development,Rural services and infrastructure
P160488,Eastern and Southern Africa,Republic of Rwanda,Active,Bank Approved,"LAKE VICTORIA TRANSPORT PROGRAM - SOP1, RWANDA","The program development objective is to facilitate the sustainable movement of goods and people in the Lake Victoria region, whilst strengthening the institutional framework for transport safety.

The project development objective for SOP1 Rwanda is to improve the  efficient and safe movement of goods and people along the regional corridor from the border crossing at Rusumo to the border crossi ng at Nemba and Rusizi together with upgrades to road asset management and road safety in Rwanda.",Rwanda Transport Development Agency (RTDA),http://projects.worldbank.org/P160488/null?lang=en,2017-05-25T00:00:00Z,2023-12-31,Other,104000000.0,0,81000000,81000000,0,"Ministry of Finance and Economic Planning, Republic of Rwanda",Investment Project Financing,,Rural and Inter-Urban Roads,Public Administration - Transportation,,Climate change,Rural markets
P160447,Eastern and Southern Africa,Republic of Uganda,Closed,Bank Approved,UG - Strengthening Social Risk Management and Gender-Based Violence Prevention and Response Project,The Project Development Objectives are to increase: (i) participation in Gender-Based Violence (GBV) prevention programs; and (ii) u tilization of multi-sectoral response services for survivors of GBV in targeted districts.,"Ministry of Gender, Labour and Social Development",http://projects.worldbank.org/P160447/null?lang=en,2017-06-20T00:00:00Z,2022-06-30,IDA,40000000.0,0,40000000,40000000,0,"Ministry of Finance, Planning and Economic Development",Investment Project Financing,,Public Administration - Social Protection,Law and Justice,Public Administration - Health,Other social protection and risk management,Gender
P160250,Eastern and Southern Africa,Republic of Uganda,Active,Bank Approved,Uganda Intergovernmental Fiscal Transfers Program,"to improve the adequacy, equity and effectiveness of financing and the oversight, management and delivery of local government servic es in education, health, water and environment, and micro irrigation, including refugees and their host communities.","Ministry of Finance, Planning and Economic Development",http://projects.worldbank.org/P160250/null?lang=en,2017-06-27T00:00:00Z,2024-06-30,Other,787590000.0,0,200000000,200000000,0,"Republic of Uganda, Ministry of Finance, Planning and Economic Development",Program-for-Results Financing,,Sub-National Government,Health,Secondary Education,Education for all,Other economic management
P160083,Eastern and Southern Africa,Republic of Kenya,Active,Bank Approved,Kenya  Secondary Education Quality Improvement Project,"The project development objective (PDO) is to improve student learning in secondary education and transition from primary to second ary education, in targeted areas.","Ministry of Education, Kenya Institute of Curriculum Development, Teachers Service Commission",http://projects.worldbank.org/P160083/null?lang=en,2017-09-15T00:00:00Z,2023-12-31,IDA,200000000.0,0,200000000,200000000,0,Republic of Kenya,Investment Project Financing,,Secondary Education,Public Administration - Education,Primary Education,Education for the knowledge economy,Education for all
P159954,Eastern and Southern Africa,United Republic of Tanzania,Active,Bank Approved,Development Support for Tanzania Statistics,"To strengthen the capacity of the national statistical bureau to collect, process, and disseminate data and statistics on living sta ndards, labor markets, and agriculture.",National Bureau of Statistics,http://projects.worldbank.org/P159954/null?lang=en,2018-08-14T00:00:00Z,2022-12-31,Grants,8560000.0,0,0,0,8560000,United Republic of Tanzania,Investment Project Financing,,Central Government (Central Agencies),"Public Administration - Agriculture, Fishing & Forestry",Public Administration - Social Protection,Other economic management,"Economic statistics, modeling and forecasting"
P158411,Eastern and Southern Africa,Republic of Rwanda,Closed,Bank Approved,Rwanda Improved Cookstoves Project,"The project development objective (PDO) is to reduce the use of woody biomass for cooking in targeted households, through promotion  of improved cookstoves.","Inyenyeri, DelAgua",http://projects.worldbank.org/P158411/null?lang=en,2017-06-08T00:00:00Z,2021-11-15,Grants,27650000.0,0,0,0,7650000,Inyenyeri and DelAgua Health Rwanda,Investment Project Financing,,Renewable Energy Biomass,Renewable Energy Geothermal,Renewable Energy Solar,Pollution management and environmental health,Climate change
P155759,Eastern and Southern Africa,United Republic of Tanzania,Active,Bank Approved,Citizen-Centric Judicial Modernization and Justice Service Delivery,"The project development objective is to improve the efficiency and transparency of, and access to, selected citizen-centric justice services.",Judiciary of Tanzania,http://projects.worldbank.org/P155759/null?lang=en,2016-04-06T00:00:00Z,2025-06-30,IDA,65000000.0,0,65000000,65000000,0,United Republic of Tanzania,Investment Project Financing,,Law and Justice,Other Public Administration,"Public Administration - Industry, Trade and Services",Access to law and justice,Other public sector governance
P154784,Eastern and Southern Africa,Republic of Kenya,Active,Bank Approved,Kenya Climate Smart Agriculture Project,"To increase agricultural productivity and build resilience to climate change risks in the targeted smallholder farming and pastoralcommunities in Kenya, and in the event of an Eligible Crisis or Emergency, to provide immediate and effective response.","Ministry of Agriculture, Livestock and Fisheries, Kenya Agriculture and Livestock Research Organisation ( KALRO)",http://projects.worldbank.org/P154784/null?lang=en,2017-02-09T00:00:00Z,2023-06-30,Other,279700000.0,0,250000000,250000000,0,The National  Treasury,Investment Project Financing,,"Other Agriculture, Fishing and Forestry",Livestock,"Agricultural Extension, Research, and Other Support Activities",Rural services and infrastructure,"Micro, Small and Medium Enterprise support"
P153781,Eastern and Southern Africa,United Republic of Tanzania,Active,Bank Approved,TZ-Rural Electrification Expansion Program,The Project Development Objectives are (a) to increase access to electricity in rural areas; and (b) to scale up the supply of renew able energy in rural areas while strengthening sector institutional capacity.,Rural Energy Agency,http://projects.worldbank.org/P153781/null?lang=en,2016-06-21T00:00:00Z,2023-07-31,Grants,209000000.0,0,200000000,200000000,0,UNITED REPUBLIC OF TANZANIA,Program-for-Results Financing,,Renewable Energy Solar,,,Infrastructure services for private sector development,Rural services and infrastructure
P153349,Eastern and Southern Africa,Republic of Kenya,Active,Bank Approved,National Agricultural and Rural Inclusive Growth Project,"The proposed development objective is to increase agricultural productivity and profitability of targeted rural communities in selec ted Counties, and in the event of an Eligible Crisis or Emergency, to provide immediate and effective response.","Ministry of Agriculture, Livestock, Fisheries and Cooperatives",http://projects.worldbank.org/P153349/null?lang=en,2016-08-23T00:00:00Z,2023-06-30,Other,219000000.0,0,200000000,200000000,0,The Republic of Kenya,Investment Project Financing,,"Public Administration - Agriculture, Fishing & Forestry",Sub-National Government,"Other Agriculture, Fishing and Forestry","Micro, Small and Medium Enterprise support",Rural services and infrastructure
P152736,Eastern and Southern Africa,United Republic of Tanzania,Closed,Bank Approved,Strengthening Primary Health Care for Results,"The Program Development Objective is to improve the quality of primary health care (PHC) services nationwide with a focus on matern al, neonatal and child health (MNCH) services.","Ministry of Health, Community Development, Gender, Elderly and Children, President's Office Regional Administration and Local Government",http://projects.worldbank.org/P152736/null?lang=en,2015-05-28T00:00:00Z,2021-06-30,Grants,240000000.0,0,200000000,200000000,0,United Republic of Tanzania,Program-for-Results Financing,,Health,,,Health system performance,Nutrition and food security
P152394,Eastern and Southern Africa,Republic of Kenya,Active,Bank Approved,Transforming Health Systems for Universal Care,"The project development objective is to improve utilization and quality of primary health care services with a focus on reproductive , maternal, newborn, child and adolescent health services and to provide immediate and effective response to an eligible crisis or e mergency .",Ministry of Health,http://projects.worldbank.org/P152394/null?lang=en,2016-06-15T00:00:00Z,2023-09-30,Grants,191100000.0,0,150000000,150000000,0,Republic of Kenya,Investment Project Financing,,Health,Public Administration - Health,,Child health,Population and reproductive health
P151831,Eastern and Southern Africa,Republic of Kenya,Active,Bank Approved,Kenya Youth Employment and Opportunities,The proposed Project Development Objective (PDO) is to increase employment and earnings opportunities for targeted youths.,"Ministry of ICT,Innovations and Youth Affairs",http://projects.worldbank.org/P151831/null?lang=en,2016-05-20T00:00:00Z,2022-12-31,IDA,150000000.0,0,150000000,150000000,0,The Republic of Kenya,Investment Project Financing,,Workforce Development and Vocational Education,Social Protection,Public Administration - Social Protection,Social Protection and Labor Policy & Systems,Improving labor markets
P150937,Eastern and Southern Africa,United Republic of Tanzania,Active,Bank Approved,Dar es Salaam Urban Transport Improvement Project,"The Project Development Objective (PDO) is to improve transport mobility, accessibility, safety, and quality of transport service de livery along the selected corridors in Dar es Salaam.","Tanzania National Roads Agency (TANROADS), Dar Rapid Transit Agency (DART)",http://projects.worldbank.org/P150937/null?lang=en,2017-03-08T00:00:00Z,2023-12-31,Other,450800000.0,0,425000000,425000000,0,United Republic of Tanzania,Investment Project Financing,,Urban Transport,Public Administration - Transportation,,Infrastructure services for private sector development,Trade facilitation and market access
P150844,Eastern and Southern Africa,Republic of Rwanda,Closed,Bank Approved,Rwanda Urban Development Project,<p>The project development objective is to provide access to basic infrastructure and enhance urban management in selected urban cen ters of the participating districts.</p>,Ministry of Infrastructure,http://projects.worldbank.org/P150844/null?lang=en,2016-03-29T00:00:00Z,2021-06-30,Other,100000000.0,0,95000000,95000000,0,MINECOFIN,Investment Project Financing,,Urban Transport,Waste Management,Sanitation,Urban services and housing for the poor,Municipal governance and institution building
P150634,Eastern and Southern Africa,Republic of Rwanda,Active,Bank Approved,Rwanda Electricity Sector Strengthening Project,<p>The Project Development Objective is to enhance the operational efficiency of the electricity utility and increase electricity ac cess.</p>,Energy Utility Corporation Limited,http://projects.worldbank.org/P150634/null?lang=en,2015-12-14T00:00:00Z,2022-10-31,IDA,95000000.0,0,95000000,95000000,0,The Republic of Rwanda,Investment Project Financing,,Energy Transmission and Distribution,Other Energy and Extractives,Public Administration - Energy and Extractives,Other public sector governance,Rural services and infrastructure
P150523,Eastern and Southern Africa,United Republic of Tanzania,Active,Bank Approved,Tanzania: Resilient Natural Resource Management for Tourism and Growth,The Project Development Objective (PDO) is to improve management of natural resources and tourism assets in priority areas of Southe rn Tanzania and to increase access to alternative livelihood activities for targeted communities,Ministry of Natural Resources and Tourism,http://projects.worldbank.org/P150523/null?lang=en,2017-09-28T00:00:00Z,2025-02-28,IDA,150000000.0,0,150000000,150000000,0,United Republic of Tanzania,Investment Project Financing,,Tourism,"Other Agriculture, Fishing and Forestry","Agricultural Extension, Research, and Other Support Activities",Environmental policies and institutions,Climate change
P150496,Eastern and Southern Africa,United Republic of Tanzania,Active,Bank Approved,Dar es Salaam Maritime Gateway Project,"The Project Development Objective is to improve the effectiveness and efficiency of the Port of Dar es Salaam, for the benefit of pu blic and private stakeholders.",Tanzania Ports Authority (TPA),http://projects.worldbank.org/P150496/null?lang=en,2017-06-30T00:00:00Z,2024-06-30,Grants,421000000.0,0,345000000,345000000,0,THE UNITED REPUBLIC OF TANZANIA,Investment Project Financing,,Ports/Waterways,Railways,Public Administration - Transportation,Regional integration,State-owned enterprise restructuring and privatization
P150361,Eastern and Southern Africa,United Republic of Tanzania,Active,Bank Approved,Second Tanzania Water Sector Support Project,"The Project Development Objectives are to: (a) strengthen the capacity for integrated water resources planning and management in Tanzania, and (b) improve access to water supply and sanitation services in an operationally efficient manner in Dar es Salaam.","Ministry of Water, Dar es Salaam Water and Sewerage Authority",http://projects.worldbank.org/P150361/null?lang=en,2017-01-23T00:00:00Z,2024-12-31,Other,230000000.0,0,225000000,225000000,0,United Republic of Tanzania,Investment Project Financing,,Sanitation,Water Supply,"Public Administration - Water, Sanitation and Waste Management",Water resource management,Rural services and infrastructure
P150166,Eastern and Southern Africa,Republic of Uganda,Closed,Bank Approved,IMPLEMENTING CHANGE MANAGEMENT STRATEGY FOR EGP AND BUILDING CAPACITY FOR PPDA AND ITS STAKEHOLDERS,The main objective of the proposed grant is to kick-start the development of a national e-GP system in Uganda to improve performa nce of the procurement function in Uganda.,PUBLIC PROCUREMENT AND DISPOSAL OF PUBLIC ASSETS AUTHORITY,http://projects.worldbank.org/P150166/null?lang=en,2019-08-23T00:00:00Z,2022-03-30,Grants,840000.0,0,0,0,840000,"Ministry of Finace, Planning and Economic Development",Investment Project Financing,,Central Government (Central Agencies),,,Other accountability/anti-corruption,"Public expenditure, financial management and procurement"
P149965,Eastern and Southern Africa,Republic of Uganda,Closed,Bank Approved,Third Northern Uganda Social Action Fund (NUSAF 3),The Project Development Objective (PDO) is â€œto provide effective income support to and build the resilience of poor and vulnerable households in Northern Uganda.â€,Office of the Prime Minister,http://projects.worldbank.org/P149965/null?lang=en,2015-05-27T00:00:00Z,2021-06-30,IDA,130000000.0,0,130000000,130000000,0,The Republic of Uganda,Investment Project Financing,,Social Protection,Public Administration - Social Protection,,Other social protection and risk management,Participation and civic engagement
P149129,Eastern and Southern Africa,Republic of Kenya,Closed,Bank Approved,Kenya Devolution Support Project,To strengthen capacity of core national and county institutions to improve delivery of devolved services at the county level.,Ministry of Devolution and ASAL,http://projects.worldbank.org/P149129/null?lang=en,2016-03-15T00:00:00Z,2021-09-30,IDA,200000000.0,0,200000000,200000000,0,Republic of Kenya,Program-for-Results Financing,,Sub-National Government,,,Decentralization,"Public expenditure, financial management and procurement"
P147486,Eastern and Southern Africa,United Republic of Tanzania,Closed,Bank Approved,TZ Education Program for Results,A. Program Development Objective(s) Improve education quality in Tanzanian primary and secondary schools.,"Ministry of Education, Science and Technology",http://projects.worldbank.org/P147486/null?lang=en,2014-07-10T00:00:00Z,2022-01-31,Other,416000000.0,0,122000000,122000000,0,United Republic of Tanzania,Program-for-Results Financing,,Other Education,Primary Education,Secondary Education,Education for all,Education for the knowledge economy
P146797,Eastern and Southern Africa,Republic of Kenya,Closed,Bank Approved,Kenya GPE Primary Education Development Project,The project development objectives are to improve early grade mathematics competency and to strengthen management systems at school and national levels.,Ministry of Education,http://projects.worldbank.org/P146797/null?lang=en,2015-05-18T00:00:00Z,2021-12-31,Grants,88400000.0,0,0,0,88400000,Ministry of Finance,Investment Project Financing,,Primary Education,,,Education for all,Education for the knowledge economy
P145559,Eastern and Southern Africa,Republic of Kenya,Active,Bank Approved,Coastal Region Water Security and Climate Resilience Project,"The development objective of this project (KWSCRP-2) is to increase bulk water supply to Mombasa County and Kwale County, and increa se access to water in Kwale County.","Ministry of Water, Sanitation and Irrigation",http://projects.worldbank.org/P145559/null?lang=en,2014-12-16T00:00:00Z,2027-01-31,IDA,200000000.0,0,200000000,200000000,0,THE REPUBLIC OF KENYA,Investment Project Financing,,Water Supply,"Other Agriculture, Fishing and Forestry",Sanitation,Rural services and infrastructure,Water resource management
P145234,Eastern and Southern Africa,Republic of Kenya,Closed,Bank Approved,Kenya Petroleum Technical Assistance Project (KEPTAP),The project development objective (PDO) is to strengthen the capacity of the GoK to manage its petroleum sector and wealth for sustainable development impacts.,"The National Treasury, MoPM",http://projects.worldbank.org/P145234/null?lang=en,2014-07-24T00:00:00Z,2021-08-31,IDA,50000000.0,0,50000000,50000000,0,Government of Kenya,Investment Project Financing,,Public Administration - Energy and Extractives,Oil and Gas,,Other public sector governance,Other environment and natural resources management
P145101,Eastern and Southern Africa,Republic of Uganda,Active,Bank Approved,Uganda: Albertine Region Sustainable Development Project,"To improve regional and local access to infrastructure, markets, and skills development in the Albertine Region.","Ministry of Lands, Housing and Urban Development, Uganda National Roads Authority, Ministry of Education and Sports",http://projects.worldbank.org/P145101/uganda-albertine-region-sustainable-development-project?lang=en,2014-03-26T00:00:00Z,2022-12-31,Other,153890000.0,0,145000000,145000000,0,"Ministry of Finance, Planning and Economic Development",Investment Project Financing,,Rural and Inter-Urban Roads,Workforce Development and Vocational Education,Sub-National Government,Rural markets,Education for the knowledge economy
P145037,Eastern and Southern Africa,Republic of Uganda,Active,Bank Approved,Agriculture Cluster Development Project,"The development objective is to raise on-farm productivity, production, and marketable volumes of selected agricultural commoditiesin specified geographic clusters.","Ministry of Agriculture, Animal Industry and Fisheries",http://projects.worldbank.org/P145037/agriculture-cluster-development-project?lang=en,2015-04-09T00:00:00Z,2023-09-30,Other,248000000.0,0,150000000,150000000,0,Republic of Uganda,Investment Project Financing,,Crops,Irrigation and Drainage,"Public Administration - Agriculture, Fishing & Forestry",Other rural development,Rural markets
P144497,Eastern and Southern Africa,United Republic of Tanzania,Closed,Bank Approved,Tanzania: Expanding Rice Production,To increase the productivity and production of rice among smallholders in targeted areas of Morogoro and Zanzibar,"Ministry of Agriculture and Natural Resources - Zanzibar, Ministry of Agriculture",http://projects.worldbank.org/P144497/null?lang=en,2015-03-12T00:00:00Z,2021-01-31,Grants,22900000.0,0,0,0,22900000,United Republic of Tanzania,Investment Project Financing,,Crops,Irrigation and Drainage,"Public Administration - Agriculture, Fishing & Forestry",Rural services and infrastructure,Rural markets
P133312,Eastern and Southern Africa,Republic of Uganda,Active,Bank Approved,Energy for Rural Transformation III,The Project Development Objective is to increase access to electricity in rural areas of Uganda.,"Ministry of Energy and Mineral Development (MEMD), Uganda Energy Credit Capitalization Company (UECCC)",http://projects.worldbank.org/P133312/null?lang=en,2015-06-05T00:00:00Z,2022-11-30,Other,168200000.0,0,135000000,135000000,0,"Ministry of Finance, Planning and Economic Development, Government of Republic of Uganda",Investment Project Financing,,Renewable Energy Solar,,,"Micro, Small and Medium Enterprise support",Rural services and infrastructure
P133305,Eastern and Southern Africa,Republic of Uganda,Active,Bank Approved,Uganda Grid Expansion and Reinforcement Project (GERP),The Project Development Objective (PDO) is to increase availability and efficiency of bulk electricity supply in the project areas.,"Uganda Electricity Transmission Company Limited, Ministry of Energy and Mineral Development",http://projects.worldbank.org/P133305/null?lang=en,2016-05-31T00:00:00Z,2022-10-31,Other,127300000.0,0,100000000,100000000,0,REPUBLIC OF UGANDA,Investment Project Financing,,Energy Transmission and Distribution,Public Administration - Energy and Extractives,,Rural services and infrastructure,Other public sector governance
P131464,Eastern and Southern Africa,Republic of Rwanda,Closed,Bank Approved,Landscape Approach to Forest Restoration and Conservation (LAFREC),The project development and the global environmental objective is to demonstrate landscape management for enhanced environmental services and climate resilience in one priority landscape.,"REMA, Ministry of Environment",http://projects.worldbank.org/P131464/landscape-approach-forest-restoration-conservation-lafrec?lang=en,2014-08-27T00:00:00Z,2021-09-30,Grants,9530000.0,0,0,0,5490000,Republic of Rwanda,Investment Project Financing,,Forestry,"Other Agriculture, Fishing and Forestry","Other Water Supply, Sanitation and Waste Management",Biodiversity,Land administration and management
P130471,Eastern and Southern Africa,Republic of Uganda,Active,Bank Approved,Competitiveness and Enterprise Development Project (CEDP),To support measures that facilitate increased private sector investment in the tourism sector and strengthen effectiveness of the la nd administration system.,Private Sector Foundation Uganda,http://projects.worldbank.org/P130471/competitiveness-enterprise-development-project-cedp?lang=en,2013-05-09T00:00:00Z,2024-05-30,Other,102500000.0,0,100000000,100000000,0,Government of Uganda,Investment Project Financing,,"Other Industry, Trade and Services",Central Government (Central Agencies),Banking Institutions,Infrastructure services for private sector development,Export development and competitiveness
P126498,Eastern and Southern Africa,Republic of Rwanda,Active,Bank Approved,Rwanda Feeder Roads Development Project,The objective of the project is to enhance all season road connectivity to agricultural market centers in selected Districts.,Rwanda Transport Development Agency,http://projects.worldbank.org/P126498/rwanda-feeder-roads-development-project?lang=en,2014-03-21T00:00:00Z,2022-12-31,Grants,49000000.0,0,45000000,45000000,0,Ministry of Finance and Economic Planning,Investment Project Financing,,Rural and Inter-Urban Roads,Central Government (Central Agencies),Sub-National Government,Rural services and infrastructure,Decentralization
P125590,Eastern and Southern Africa,Republic of Uganda,Active,Bank Approved,UGANDA North Eastern Road-corridor Asset Management Project  (NERAMP),"The PDO is to reduce transport costs, enhance road safety, and improve and preserve the road assets sustainably by applying cost effective performance based asset management contracts, along the Tororo - Kamdini road Corridor.",Uganda National Roads Authority (UNRA),http://projects.worldbank.org/P125590/null?lang=en,2014-04-30T00:00:00Z,2024-10-31,Other,255000000.0,0,243800000,243800000,0,REPUBLIC OF UGANDA,Investment Project Financing,,Rural and Inter-Urban Roads,Public Administration - Transportation,,Rural services and infrastructure,Infrastructure services for private sector development
P123134,Eastern and Southern Africa,United Republic of Tanzania,Active,Bank Approved,Dar es Salaam Metropolitan Development Project,The objective of the Project is to improve urban services and institutional capacity in the Dar es Salaam Metropolitan Area and to facilitate potential emergency response.,Presidentâ€™s Office â€“ Regional Administration and Local Government,http://projects.worldbank.org/P123134/dar-es-salaam-metropolitan-development-project?lang=en,2015-03-02T00:00:00Z,2023-01-02,Other,330300000.0,0,300000000,300000000,0,United Republic of Tanzania represented by the Ministry of Finance and Planning,Investment Project Financing,,Urban Transport,"Other Water Supply, Sanitation and Waste Management",Sub-National Government,Municipal governance and institution building,Urban services and housing for the poor
P121019,Eastern and Southern Africa,Republic of Kenya,Active,Bank Approved,Kenya Infrastructure Finance/PPP project,The overall objective of this project is to increase private investment in the Kenya infrastructure market across sectors and to sus tain this participation over an extended period of time.,"National Treasury PPP Directorate, Project Facilitation Fund",http://projects.worldbank.org/P121019/kenya-infrastructure-financeppp-project?lang=en,2012-11-15T00:00:00Z,2022-10-31,IDA,40000000.0,0,40000000,40000000,0,MINISTRY OF FINANCE,Investment Project Financing,,Public Administration - Financial Sector,Central Government (Central Agencies),Other Transportation,Debt management and fiscal sustainability,"Public expenditure, financial management and procurement"
P120014,Eastern and Southern Africa,Republic of Kenya,Active,Bank Approved,KE Electricity Modernization Project,The proposed project development objectives (PDOs) are: (a) to increase access to electricity; (b) to improve reliability of electri city service; and (c) to strengthen KPLC's financial situation.,"Ministry of Energy and Petroleum, Rural Electrification and Renewable Energy Corporation, Kenya Power and Lighting Company (KPLC)",http://projects.worldbank.org/P120014/electricity-modernization-project?lang=en,2015-03-31T00:00:00Z,2022-12-31,Grants,562000000.0,0,250000000,250000000,0,The National Treasury,Investment Project Financing,,Energy Transmission and Distribution,,,Regulation and competition policy,Urban services and housing for the poor
P117876,Eastern and Southern Africa,Republic of Uganda,Active,Bank Approved,Uganda Support to Municipal Infrastructure Development Program,To enhance institutional capacity of selected municipalities to address urban service delivery gaps,Program Support Team,http://projects.worldbank.org/P117876/uganda-support-municipal-infrastructure-development-project?lang=en,2013-03-28T00:00:00Z,2023-12-31,IDA,150000000.0,0,150000000,150000000,0,"Ministry of Lands, Housing and Urban Development (MoLHUD)",Program-for-Results Financing,,Rural and Inter-Urban Roads,Sub-National Government,"Other Water Supply, Sanitation and Waste Management",Municipal governance and institution building,Other urban development
P117635,Eastern and Southern Africa,Republic of Kenya,Active,Bank Approved,Kenya Water Security and Climate Resilience Project,(a) increase access to irrigation water for project beneficiaries and (b) enhance the institutional framework and strengthen capacit y for water security and climate resilience in certain areas of the territory of the Recipient.,Ministry of Water & Sanitation,http://projects.worldbank.org/P117635/kenya-enhancing-water-security-climate-resilience?lang=en,2013-06-18T00:00:00Z,2022-12-31,Other,182670000.0,0,155000000,155000000,0,Republic of Kenya,Investment Project Financing,,"Public Administration - Water, Sanitation and Waste Management","Other Water Supply, Sanitation and Waste Management",Irrigation and Drainage,Rural services and infrastructure,Natural disaster management
P111155,Eastern and Southern Africa,United Republic of Tanzania,Closed,Bank Approved,Zanzibar Urban Services Project,Improve access to urban services and conserve physical cultural heritage in Zanzibar.,Ministry of Finance and Planning of the Revolutionary Government of Zanzibar,http://projects.worldbank.org/P111155/zanzibar-urban-services-project?lang=en,2011-02-24T00:00:00Z,2021-05-31,IDA,38000000.0,0,38000000,38000000,0,The United Republic of Tanzania - Ministry of Finance and Planning,Investment Project Financing,,"Other Water Supply, Sanitation and Waste Management",Sub-National Government,Waste Management,Municipal finance,Urban services and housing for the poor
P105269,Eastern and Southern Africa,Republic of Kenya,Closed,Bank Approved,Judicial Performance Improvement,"The Objective of the Project is to improve the performance of the Judiciary to
provide its services in the Project areas in a more  effective and accountable manner.","National Treasury, Judiciary of Kenya",http://projects.worldbank.org/P105269/judicial-performance-improvement?lang=en,2012-11-15T00:00:00Z,2021-10-31,IDA,120000000.0,0,120000000,120000000,0,Republic of Kenya,Investment Project Financing,,Law and Justice,ICT Services,Public Administration - Information and Communications Technologies,Other accountability/anti-corruption,Judicial and other dispute resolution mechanisms
